Gender,Age,StudyHours,Attendance,ExamScore,FinalGrade,Motivation,StressLevel,LearningStyle,AssignmentCompletion,Extracurricular,OnlineCourses
M,21,12,79,52.5,52.5,1,3,2,64,0,1
M,18,17,63,60.0,60.0,3,4,3,81,0,0
M,22,13,85,41.25,41.25,2,2,2,78,1,1
M,21,18,60,44.0,44.0,1,4,2,80,1,0
M,24,19,66,71.25,71.25,1,4,2,77,0,0
M,22,6,61,61.5,61.5,1,2,2,75,1,0
M,20,13,60,45.5,45.5,3,1,2,91,0,1
M,17,18,97,76.75,76.75,4,2,2,74,1,0
M,21,6,77,76.0,76.0,3,2,2,75,1,0
M,24,19,80,57.25,57.25,1,1,3,90,1,0
M,19,9,94,49.5,49.5,2,1,1,80,0,1
M,18,16,70,57.25,57.25,3,1,2,82,0,0
M,17,14,90,66.0,66.0,4,1,3,60,1,1
M,23,13,80,62.25,62.25,3,3,1,74,1,0
M,23,10,85,71.25,71.25,4,4,2,69,0,0
M,24,1,63,57.75,57.75,3,4,3,99,0,1
M,21,6,76,63.75,63.75,1,3,2,91,0,1
M,24,17,80,49.5,49.5,4,4,3,88,1,0
M,17,8,81,64.0,64.0,4,4,3,99,1,0
M,20,4,68,76.25,76.25,3,2,1,77,1,1
M,20,5,90,41.25,41.25,4,3,3,72,0,0
M,18,16,95,60.75,60.75,2,1,2,60,0,0
M,21,13,63,71.75,71.75,1,2,2,67,0,0
M,22,4,96,77.75,77.75,3,4,3,79,1,1
M,21,15,97,55.25,55.25,4,3,2,85,1,1
M,19,9,80,47.0,47.0,4,4,2,72,0,0
M,21,10,60,48.25,48.25,2,3,3,80,0,0
M,23,17,83,52.0,52.0,4,3,2,93,1,0
M,23,3,72,59.25,59.25,2,1,2,99,1,0
M,22,7,70,81.75,81.75,3,1,1,99,0,1
M,18,19,95,85.0,85.0,1,4,2,84,1,1
M,21,7,80,47.75,47.75,1,3,3,76,0,0
M,18,15,96,55.0,55.0,4,1,1,99,1,0
M,22,12,86,54.5,54.5,2,4,3,83,0,0
M,22,17,79,68.25,68.25,4,4,3,63,0,0
M,20,12,90,56.0,56.0,2,1,2,65,0,1
M,17,18,82,78.5,78.5,3,3,2,89,0,0
M,24,14,74,49.25,49.25,2,4,2,61,0,1
M,23,10,70,56.25,56.25,4,1,1,77,0,1
M,24,9,86,80.25,80.25,2,4,1,95,1,0
M,20,11,91,57.0,57.0,1,1,2,94,1,0
M,19,18,74,75.0,75.0,4,1,1,81,0,0
M,20,8,82,50.75,50.75,2,3,3,88,1,1
M,24,16,98,43.0,43.0,3,3,3,88,0,0
M,23,19,91,59.25,59.25,3,2,2,62,1,0
M,20,14,83,58.5,58.5,3,3,2,97,1,0
M,17,9,82,52.0,52.0,4,3,2,72,0,1
M,19,7,67,54.25,54.25,4,1,3,81,0,0
M,21,10,97,83.75,83.75,4,4,2,60,0,0
M,18,6,67,80.0,80.0,4,3,2,64,0,1
M,19,12,76,76.75,76.75,2,1,2,81,1,1
M,24,6,75,81.0,81.0,4,4,3,96,0,0
M,22,4,71,41.5,41.5,2,4,1,82,0,0
M,22,3,93,79.25,79.25,2,4,1,81,0,0
M,22,17,90,73.5,73.5,3,1,2,66,0,0
M,18,10,82,70.5,70.5,3,3,2,76,0,1
M,24,1,93,35.0,35.0,3,4,2,67,1,1
M,19,5,75,68.5,68.5,2,1,2,96,1,1
M,24,18,84,82.0,82.0,4,1,1,63,1,0
M,24,18,77,88.0,88.0,3,3,1,71,0,1
M,22,10,63,55.25,55.25,1,4,2,77,0,1
M,21,14,66,70.25,70.25,4,2,2,73,0,1
M,21,12,82,85.0,85.0,1,2,1,94,0,0
M,23,9,93,63.0,63.0,3,4,1,67,1,1
M,20,11,89,77.5,77.5,1,2,1,67,1,0
M,22,6,71,66.25,66.25,1,4,1,67,1,0
M,21,3,79,60.0,60.0,3,3,2,83,0,1
M,22,9,96,62.25,62.25,4,3,3,79,1,0
M,23,15,82,70.0,70.0,1,4,1,84,0,1
M,21,4,64,48.0,48.0,2,1,2,69,0,0
M,18,2,71,59.75,59.75,1,3,3,79,1,1
M,23,12,78,66.0,66.0,1,3,3,79,0,0
M,17,7,80,45.75,45.75,3,1,2,90,0,1
M,21,14,98,48.5,48.5,1,4,2,73,0,0
M,20,16,68,51.0,51.0,2,2,2,74,1,1
M,20,14,70,77.0,77.0,2,4,2,69,1,1
M,17,12,77,78.25,78.25,1,2,3,64,1,0
M,23,2,75,61.5,61.5,4,4,1,74,0,0
M,17,1,82,60.5,60.5,2,4,3,64,0,0
M,22,3,77,64.5,64.5,2,2,2,81,1,1
M,23,7,76,77.25,77.25,1,2,1,67,1,0
M,17,10,67,78.25,78.25,4,4,3,69,0,1
M,24,11,83,58.25,58.25,2,4,1,95,1,1
M,20,1,98,42.25,42.25,3,2,3,95,0,0
M,24,9,63,56.25,56.25,4,3,1,62,0,0
M,23,4,82,70.25,70.25,4,1,1,87,1,1
M,19,8,90,77.5,77.5,1,3,2,82,0,0
M,19,12,80,59.75,59.75,2,4,3,77,1,0
M,19,9,89,64.33333333333333,64.25,3,4,1,87,0,0
M,20,8,87,69.66666666666667,74.0,1,1,1,71,0,1
M,21,11,88,55.25,55.25,1,3,2,93,1,0
M,19,10,71,48.75,48.75,3,2,2,81,0,0
M,22,9,60,80.0,80.0,1,1,2,80,0,0
M,18,19,79,49.75,49.75,2,3,2,72,1,0
M,19,3,68,68.75,68.75,2,3,3,76,1,1
M,24,2,93,64.5,64.5,2,2,1,90,1,0
M,20,3,86,65.5,65.5,1,1,2,66,0,1
M,23,9,79,55.25,55.25,2,3,1,88,0,1
M,18,18,77,67.25,67.25,2,2,3,72,0,0
M,20,6,73,66.0,66.0,2,3,1,93,1,0
M,23,2,81,47.5,47.5,3,2,1,93,1,1
M,19,17,79,70.75,70.75,3,4,1,60,1,0
M,24,4,88,80.5,80.5,4,2,1,79,1,1
M,20,17,68,66.75,66.75,4,1,3,95,0,0
M,24,7,61,25.0,31.0,1,4,3,68,1,1
M,20,9,70,61.66666666666666,71.25,4,1,2,87,0,0
M,21,13,62,55.333333333333336,62.0,2,4,1,97,1,1
M,21,16,92,59.0,54.75,4,4,3,60,1,1
M,19,14,67,69.0,69.0,3,4,1,76,0,1
M,17,6,64,72.0,72.0,2,4,2,99,0,0
M,21,4,70,75.75,75.75,2,4,3,80,1,0
M,21,9,72,72.0,72.0,2,1,3,82,0,0
M,19,5,90,68.25,68.25,4,4,3,83,0,1
M,18,8,99,51.75,51.75,3,4,1,67,1,0
M,17,9,84,60.0,60.0,1,4,2,97,1,1
M,17,19,74,58.25,58.25,3,4,1,86,0,0
M,20,17,87,67.25,67.25,2,2,1,70,0,1
M,18,17,71,66.0,66.0,2,4,3,75,0,0
M,21,18,71,50.25,50.25,4,1,1,74,0,1
M,20,5,71,76.25,76.25,4,3,2,70,1,1
M,23,17,91,68.0,68.0,1,2,3,70,0,0
M,18,19,97,59.75,59.75,3,4,1,81,0,0
M,24,3,95,56.5,56.5,2,1,2,72,1,0
M,19,11,66,58.5,58.5,3,1,1,70,0,1
M,22,10,94,63.5,63.5,1,3,3,98,0,1
M,24,7,84,62.5,62.5,3,2,1,76,0,1
M,23,2,92,77.5,77.5,4,1,1,97,0,1
M,20,8,60,57.5,57.5,3,2,2,96,0,0
M,17,11,96,49.0,49.0,2,3,2,68,1,1
M,20,17,95,65.0,65.0,4,2,3,74,0,0
M,19,10,72,42.75,42.75,3,4,3,83,1,0
M,19,10,70,49.75,49.75,4,4,3,85,1,1
M,21,9,88,51.75,51.75,4,1,2,86,1,0
M,18,11,69,61.75,61.75,3,1,3,80,1,1
M,20,13,75,59.0,59.0,1,4,1,80,0,1
M,19,15,64,67.25,67.25,1,1,1,96,1,0
M,20,19,65,53.25,53.25,4,3,3,68,1,1
M,20,8,81,55.25,55.25,2,1,3,77,1,0
M,21,2,61,71.0,71.0,2,2,2,90,1,1
M,20,16,89,44.0,44.0,1,4,2,81,1,1
M,17,5,63,42.66666666666666,51.75,3,1,1,91,1,1
M,24,17,82,53.0,57.75,1,2,1,65,1,0
M,22,5,71,63.333333333333336,62.0,3,1,2,78,1,0
M,21,18,67,60.66666666666666,58.75,1,3,1,79,1,1
M,23,11,62,56.75,56.75,4,2,3,74,0,0
M,19,15,87,80.5,80.5,1,4,1,85,1,0
M,21,14,93,76.0,76.0,1,2,1,61,0,1
M,24,9,96,70.75,70.75,2,2,1,67,0,1
M,22,16,62,36.5,36.5,3,4,3,67,0,0
M,22,5,60,54.75,54.75,4,3,3,95,0,1
M,19,14,81,52.75,52.75,2,2,3,87,1,0
M,18,17,86,59.25,59.25,4,4,1,85,0,0
M,22,19,68,67.75,67.75,3,3,2,68,0,0
M,17,2,73,53.5,53.5,1,2,1,73,1,1
M,20,13,90,51.25,51.25,1,4,1,60,0,0
M,22,3,78,69.25,69.25,4,1,3,63,0,0
M,18,14,78,63.0,63.0,4,1,3,82,1,1
M,17,5,93,57.75,57.75,1,3,2,93,1,1
M,20,9,69,60.5,60.5,2,2,2,82,1,1
M,20,9,64,63.0,63.0,2,4,2,73,0,0
M,17,8,71,66.5,66.5,4,1,2,87,0,1
M,24,18,98,53.0,53.0,1,3,2,69,1,0
M,22,16,60,58.0,58.0,4,4,2,68,1,0
M,23,11,95,54.0,54.0,1,4,2,61,0,1
M,21,1,81,69.25,69.25,1,4,3,89,0,0
M,23,5,97,76.5,76.5,4,3,1,79,1,1
M,24,16,63,52.25,52.25,1,2,1,83,0,0
M,21,16,77,70.5,70.5,2,1,3,91,0,0
M,23,18,77,59.0,65.75,1,3,3,84,0,0
M,19,16,98,64.0,66.25,1,4,3,65,0,1
M,19,11,65,67.66666666666667,65.0,2,4,2,64,1,1
M,22,18,99,57.25,57.25,4,4,1,77,0,0
M,17,7,82,64.5,64.5,1,3,1,90,0,0
M,20,11,75,55.25,55.25,1,3,3,62,1,1
M,21,10,74,56.75,56.75,2,3,1,73,1,0
N,23,7,64,65.5,65.5,1,2,1,63,1,0
M,24,12,83,79.5,79.5,3,3,2,60,1,0
M,19,15,94,70.25,70.25,4,2,3,62,1,1
M,22,10,91,51.25,51.25,3,2,3,85,1,0
M,20,18,99,59.5,59.5,2,3,1,65,0,0
M,24,2,60,53.5,53.5,4,1,1,62,0,1
M,22,17,69,71.25,71.25,1,1,2,91,1,1
M,23,5,93,82.0,82.0,3,3,2,71,1,0
M,23,18,75,46.25,46.25,1,3,2,67,1,0
M,17,11,90,76.0,76.0,4,1,2,87,1,1
M,18,7,61,88.75,88.75,3,3,2,87,1,1
M,24,16,94,81.0,81.0,2,2,2,66,1,1
M,18,7,63,62.0,62.0,2,2,2,97,0,1
M,20,17,86,65.0,65.0,2,1,2,93,1,1
M,21,2,75,69.5,69.5,3,4,1,99,1,0
M,20,15,71,59.5,59.5,2,3,1,89,1,0
M,24,6,68,75.0,75.0,2,4,1,77,1,1
M,17,2,98,65.75,65.75,3,1,2,60,1,0
M,18,3,71,75.5,75.5,4,4,1,96,0,1
M,21,7,86,80.0,80.0,3,1,3,71,1,0
M,18,19,94,57.75,57.75,2,3,2,71,1,1
M,21,15,73,81.25,81.25,3,4,1,90,0,1
M,19,2,61,65.25,65.25,1,1,3,67,1,0
M,21,12,94,63.5,63.5,4,1,3,66,0,1
M,18,4,61,41.0,41.0,3,2,1,78,1,1
M,20,12,89,65.75,65.75,2,3,1,75,0,0
M,23,7,63,51.0,51.0,1,3,1,94,1,0
M,23,1,82,54.5,54.5,3,1,1,60,0,0
M,24,13,73,57.5,57.5,4,4,2,93,0,1
M,19,12,76,60.0,60.0,3,3,3,70,0,0
M,22,3,60,55.5,55.5,4,4,1,68,1,1
M,23,8,85,39.25,39.25,3,2,2,84,1,1
M,23,12,89,36.75,36.75,4,2,2,94,0,1
M,20,6,95,56.0,56.0,3,2,2,84,1,0
M,17,4,90,65.5,65.5,1,2,2,81,1,1
M,22,1,81,57.25,57.25,2,3,3,95,0,1
M,20,10,99,53.75,53.75,1,4,2,85,1,0
M,18,19,60,66.0,66.0,2,3,3,65,0,0
M,24,15,80,54.25,54.25,2,2,3,83,0,0
M,23,5,87,82.5,82.5,1,1,2,61,1,1
M,18,19,97,67.0,67.0,4,2,3,66,0,0
M,17,4,92,44.75,44.75,4,2,2,98,1,1
M,18,3,75,28.75,28.75,4,4,2,73,1,0
M,21,10,64,72.75,72.75,2,3,2,88,1,1
M,23,13,82,68.75,68.75,3,3,1,82,1,1
M,21,16,74,74.25,74.25,4,3,3,63,0,1
M,17,14,81,53.25,53.25,2,3,1,77,0,0
M,19,8,99,73.75,73.75,3,2,3,65,0,0
M,22,5,60,68.5,68.5,3,1,1,93,1,0
M,18,10,90,77.75,77.75,4,3,2,96,1,1
M,22,5,76,45.5,45.5,4,2,3,66,0,1
M,23,18,62,55.5,55.5,3,3,1,98,0,1
M,17,13,93,92.75,92.75,3,4,3,91,1,0
M,21,14,85,61.75,61.75,2,2,1,98,0,1
M,22,1,93,45.75,45.75,1,4,2,81,1,0
M,22,14,72,73.5,73.5,2,1,3,97,1,0
M,24,10,97,65.75,65.75,3,1,3,63,0,1
M,21,1,76,66.0,66.0,4,1,3,97,0,1
M,18,14,81,61.5,61.5,1,3,1,89,1,1
M,21,16,75,41.0,41.0,1,4,2,91,0,0
M,21,16,97,75.75,75.75,4,2,3,65,1,0
M,18,13,60,90.0,90.0,3,3,2,93,1,1
M,19,7,67,64.0,64.0,3,3,2,68,1,0
M,20,16,65,82.25,82.25,1,2,3,90,0,1
M,21,15,70,54.75,54.75,1,4,3,66,0,1
M,18,12,74,67.75,67.75,2,1,2,83,1,0
M,24,10,91,44.25,44.25,4,3,2,71,1,1
M,23,4,85,67.25,67.25,1,2,1,78,0,1
M,22,11,60,62.75,62.75,1,1,1,66,0,0
M,20,5,86,53.0,53.0,2,3,1,98,0,1
M,21,3,79,50.5,50.5,4,4,3,75,1,1
M,22,12,77,74.25,74.25,4,4,2,95,1,1
M,22,18,94,52.25,52.25,1,2,3,77,0,0
M,24,13,68,71.0,71.0,3,4,2,84,0,1
M,20,4,80,44.25,44.25,1,3,3,63,0,0
M,20,4,76,35.25,35.25,4,4,3,81,0,1
M,17,18,61,61.0,61.0,3,3,3,94,1,0
M,20,3,67,80.5,80.5,1,2,2,87,1,0
M,23,9,81,65.75,65.75,1,1,1,85,0,1
M,21,16,98,76.0,76.0,4,3,2,89,1,0
M,21,10,82,61.75,61.75,2,3,1,80,0,1
M,18,6,80,67.75,67.75,1,3,3,68,0,0
M,19,9,72,64.5,64.5,2,1,1,78,0,0
M,23,12,69,81.0,81.0,3,3,2,74,0,1
M,23,17,62,44.75,44.75,3,2,2,99,0,1
M,21,13,82,69.5,69.5,4,2,3,90,1,0
M,18,4,88,80.25,80.25,3,1,1,97,1,0
M,24,12,98,60.0,60.0,4,4,2,92,0,1
M,24,9,76,47.5,47.5,4,4,2,61,0,0
M,20,19,76,67.75,67.75,3,2,1,98,1,1
M,18,1,76,77.25,77.25,1,2,1,60,0,1
M,21,12,91,76.75,76.75,1,3,1,90,0,1
M,23,19,77,69.0,69.0,2,3,3,67,1,0
M,17,3,89,62.75,62.75,3,3,1,84,1,1
M,17,9,73,70.0,70.0,2,4,1,64,0,1
M,17,13,83,60.25,60.25,2,2,1,70,0,0
M,20,6,64,67.0,67.0,2,1,2,94,0,1
M,20,14,75,45.5,45.5,2,4,1,85,0,1
M,20,13,80,63.25,63.25,2,3,1,66,0,1
M,24,2,98,83.5,83.5,2,1,1,64,0,0
M,18,1,87,65.75,65.75,2,3,3,63,0,1
M,18,16,66,79.75,79.75,4,1,2,76,1,0
M,20,5,93,61.0,61.0,3,2,2,72,0,1
M,18,5,95,50.75,50.75,3,3,3,89,1,0
M,20,17,97,69.0,69.0,3,4,1,77,0,1
M,23,9,89,57.0,57.0,1,2,3,81,1,1
M,24,10,74,63.75,63.75,2,2,1,99,0,1
M,19,8,90,41.25,41.25,4,3,1,64,0,1
M,21,4,64,51.75,51.75,3,2,2,75,0,1
M,19,12,66,72.0,72.0,2,2,2,98,0,1
M,20,16,85,62.5,62.5,4,2,3,61,1,1
M,21,14,72,45.5,45.5,4,3,3,67,1,0
M,20,8,66,60.0,60.0,4,1,3,92,1,0
M,19,11,65,77.0,77.0,4,4,3,85,1,0
M,23,7,84,70.75,70.75,1,2,1,92,0,1
M,17,15,72,81.5,81.5,1,1,2,70,1,1
M,17,7,78,48.75,48.75,1,1,1,81,0,1
M,18,14,75,82.75,82.75,2,2,2,85,0,1
M,17,9,76,46.75,46.75,3,3,1,88,1,0
M,17,13,93,78.0,78.0,4,4,2,62,1,0
M,17,15,85,54.0,54.0,2,2,3,62,1,1
M,18,19,96,84.25,84.25,1,2,2,91,1,1
M,21,2,73,58.0,58.0,3,3,3,86,1,1
M,22,3,97,37.5,37.5,4,4,1,71,0,1
M,21,6,69,58.25,58.25,2,4,1,80,1,1
M,21,3,91,73.25,73.25,2,4,1,83,1,1
M,20,9,98,45.75,45.75,3,1,2,78,0,1
M,17,12,98,61.25,61.25,1,2,3,64,0,0
M,18,1,81,67.75,67.75,3,3,1,84,0,0
M,20,15,94,84.25,84.25,3,2,2,68,1,1
M,17,16,67,47.5,47.5,1,1,2,72,1,1
M,23,11,92,53.0,53.0,1,2,1,90,1,1
M,18,12,78,56.0,56.0,3,1,3,75,0,1
M,21,14,86,68.75,68.75,3,4,2,69,0,0
M,22,12,63,30.25,30.25,2,3,2,68,1,0
M,17,13,79,75.5,75.5,2,1,1,75,1,0
M,20,1,87,38.75,38.75,1,4,3,78,0,0
M,18,11,80,57.75,57.75,2,1,2,83,0,1
M,18,1,65,61.75,61.75,4,2,2,99,1,1
M,18,17,88,63.5,63.5,1,3,3,81,0,1
M,22,19,77,73.25,73.25,3,4,2,60,0,1
M,24,17,89,63.5,63.5,4,3,1,79,0,1
M,17,16,95,53.25,53.25,3,4,2,87,1,0
M,20,18,94,63.75,63.75,3,2,2,62,0,1
M,19,15,62,34.75,34.75,4,3,2,91,1,0
M,21,10,89,77.5,77.5,1,2,1,93,0,0
M,22,18,78,68.0,68.0,4,2,1,99,1,0
M,19,11,77,74.0,74.0,2,1,2,82,0,0
M,24,11,62,65.0,65.0,3,2,3,65,0,0
M,24,13,94,56.5,56.5,2,2,2,80,1,0
M,17,9,86,79.0,79.0,1,4,2,88,1,1
M,24,19,66,77.0,77.0,3,2,3,77,0,1
M,20,8,81,68.25,68.25,1,2,1,89,1,1
M,19,13,75,64.25,64.25,3,3,2,69,0,0
M,17,1,98,46.5,46.5,2,3,3,82,1,1
M,23,1,83,33.75,33.75,2,2,1,65,0,1
N,23,7,70,68.75,68.75,4,2,3,85,0,1
M,23,2,95,47.0,47.0,3,4,3,97,1,1
M,18,3,73,74.25,74.25,1,1,1,72,0,1
M,23,2,66,51.75,51.75,2,3,3,76,0,0
M,24,6,99,74.66666666666667,68.75,3,3,2,95,1,1
M,22,1,60,56.66666666666666,61.75,1,2,3,94,1,1
M,19,5,90,35.0,38.75,3,3,3,83,0,1
M,21,17,76,54.25,54.25,3,2,2,92,1,0
M,22,3,85,57.0,57.0,4,3,2,94,0,0
M,21,15,76,66.0,66.0,3,4,2,82,0,1
M,21,17,82,60.75,60.75,4,4,2,76,0,1
M,22,16,91,65.25,65.25,3,1,3,76,1,1
M,19,6,62,76.0,76.0,4,1,1,65,1,1
M,21,12,74,54.75,54.75,2,3,1,78,1,1
M,17,3,69,47.5,47.5,4,1,3,74,1,0
M,18,18,94,60.0,60.0,3,2,2,64,0,0
M,18,9,90,53.5,53.5,4,3,2,86,0,0
M,17,16,63,66.5,66.5,1,4,1,62,0,0
M,17,12,94,67.25,67.25,3,1,2,60,0,0
M,19,6,98,55.75,55.75,4,4,2,75,0,0
M,23,11,60,61.5,61.5,2,2,1,60,0,1
M,24,17,93,84.0,84.0,4,3,3,89,1,0
M,22,18,69,48.75,48.75,1,1,2,64,1,1
M,22,5,84,75.75,75.75,2,1,1,63,0,0
M,20,2,74,88.75,88.75,3,4,1,98,0,1
M,18,11,92,61.5,61.5,1,1,1,68,0,1
M,20,15,85,85.75,85.75,2,4,1,70,1,0
M,21,14,70,61.75,61.75,1,4,2,82,1,1
M,22,18,68,53.5,53.5,2,3,3,70,1,1
M,22,10,81,72.5,72.5,4,3,3,78,1,1
M,19,5,82,66.5,66.5,2,1,3,79,1,1
M,23,15,92,88.0,88.0,4,2,1,62,1,0
M,24,15,69,77.25,77.25,4,1,2,80,1,0
M,23,19,98,64.0,64.0,2,1,1,82,0,1
M,20,18,74,49.5,49.5,3,2,2,62,1,1
M,23,3,98,62.0,62.0,2,2,3,70,0,0
M,18,1,75,68.25,68.25,3,2,2,86,1,1
M,22,13,78,58.25,58.25,2,4,1,70,0,0
M,23,13,90,66.75,66.75,4,3,1,62,1,1
M,24,10,83,72.25,72.25,4,2,3,67,1,0
M,22,19,95,54.75,54.75,3,2,3,74,1,0
M,20,7,74,63.25,63.25,4,1,3,63,1,0
M,20,8,71,80.75,80.75,4,4,2,78,1,1
M,20,6,85,62.5,62.5,2,2,2,73,0,0
M,23,10,61,48.25,48.25,2,4,1,94,1,0
M,22,19,61,90.5,90.5,3,3,3,91,0,0
M,18,9,68,55.0,55.0,3,3,3,83,1,0
M,24,7,79,76.25,76.25,1,2,1,86,0,0
M,22,17,72,72.5,72.5,2,1,3,90,1,0
M,23,18,95,60.75,60.75,1,4,2,69,0,1
M,19,19,94,67.75,67.75,1,3,1,90,1,0
M,20,16,68,68.25,68.25,2,3,2,79,1,0
M,21,16,71,59.0,59.0,1,3,3,95,0,1
M,22,19,74,66.75,66.75,3,2,1,86,0,1
M,19,18,79,53.75,53.75,1,3,3,91,0,0
M,24,1,71,73.75,73.75,3,4,2,76,0,0
M,19,14,99,74.0,74.0,2,2,1,67,1,0
M,22,9,81,68.75,68.75,3,3,3,61,1,1
M,23,3,81,50.0,50.0,3,2,2,91,0,0
M,23,19,87,77.0,77.0,3,4,2,96,1,0
M,21,2,92,65.25,65.25,1,1,1,95,1,0
M,20,2,79,60.25,60.25,4,2,3,61,0,1
M,17,9,70,72.0,72.0,2,4,3,98,0,1
M,24,11,76,59.5,59.5,2,4,3,73,1,0
M,23,9,94,61.25,61.25,4,4,2,77,1,1
M,21,19,64,66.5,66.5,3,4,1,93,1,1
M,18,3,79,57.25,57.25,4,3,1,69,1,0
M,17,9,73,60.25,60.25,2,3,1,67,1,1
M,20,12,92,68.5,68.5,1,1,3,89,0,1
M,23,8,93,61.75,61.75,1,3,1,98,1,1
M,22,1,98,47.25,47.25,3,4,1,66,1,1
M,20,6,78,60.5,60.5,2,1,2,64,1,0
M,23,17,85,42.5,42.5,4,4,1,68,1,0
M,17,13,95,57.5,57.5,2,1,3,72,0,1
M,21,15,84,79.0,79.0,2,1,2,68,0,0
M,24,17,68,68.0,68.0,3,1,2,83,0,1
M,22,7,81,57.25,57.25,3,3,1,81,1,1
M,22,10,67,48.5,48.5,1,1,1,78,0,0
M,19,7,89,86.5,86.5,1,4,2,71,1,0
M,23,7,85,79.75,79.75,4,1,3,73,0,1
M,22,2,98,63.5,63.5,1,2,1,79,1,1
M,17,11,63,55.25,55.25,2,3,3,85,1,0
M,24,10,79,50.5,50.5,4,3,1,86,0,1
M,19,10,85,77.25,77.25,3,3,1,93,0,1
M,20,17,72,56.5,56.5,3,4,1,94,1,1
M,18,16,95,41.25,41.25,4,3,1,84,0,0
M,22,11,73,76.25,76.25,3,4,3,82,0,1
M,20,9,66,58.0,58.0,2,3,2,93,1,0
M,19,3,90,53.75,53.75,1,3,2,69,1,1
M,18,1,95,67.5,67.5,4,2,1,99,0,1
